GUCI;TitleVONDELHABAND_-NAT00Z04Y2N;Halsbandparkieten in het voorjaar in het Vondelpark
5309_1_WILGEN-NAT00Z03K1T;Wilgenbos aan de waterkant
0001MIBOSPECH-NAT00Z03NX0;Middelste bonte specht hakkend
0000LACHSTERN-NAT00Z03NRV;Poetsende en vliegende lachtstern
VONDELVOOBLOE-NAT00Z04Y37;Voorjaarsbloemen in het Vondelpark
106A_3_BRILDU-NAT00Z00TWG;Brilduikers
020406_1_PUTT-NAT00Z02H0J;Putter zingt in een boom
000102_1_KRAV-NAT00Z02GZ8;Kramsvogel in weiland
0000KLSTWATEH-NAT00Z03NR5;Parende en poetsende kleinst waterhoen
0000OEVERLOPE-NAT00Z03NSB;Foeragerende oeverloper
0000NOSTORMVO-NAT00Z03NS9;Noordse stormvogel met olie op strand
0001PIMPELMEE-NAT00Z03NX8;Pimpelmees in nestkast
0001PESTVOGEL-NAT00Z03NX7;Pestvogels met een appel
177A_2_VISARE-NAT00Z00UFF;Visarend
286A_2_REEBUI-NAT00Z00VPV;Lichte buizerd op nek kadaver edelhert
EP06003_6_WSN-NAT00Z01NKX;Watersnippen zoeken voedsel in ondiep water en in modder
3002_2_PLASSE-NAT00Z02H5V;Watervogels op de plassen in Romeinenweerd
0004KIEVIT000-NAT00Z03O1K;Vliegende kievitten
0002PURPERREI-NAT00Z03NZV;Purperreiger aangevallen
0001REGENWULP-NAT00Z03NXC;Regenwulp in het weiland
STEENUILROEPE-NAT00Z056IN;Steenuil roepend
0217_4_FITUSO-NAT00Z00TW0;Fitis
248A_4_SIJSJE-NAT00Z00VQT;Sijsjes en pimpelmees in een poeltje
624A_1_PUTTER-NAT00Z01LZQ;Putters of distelvinken op distel
071001_1_KORH-NAT00Z02H36;Groepje jonge korhoenders in bos
0001KNOBZWAAN-NAT00Z03NWM;Grote groep knobbelzwanen
0532_1_BONTES-NAT00Z00TWA;Bonte strandlopers fouragerend
EF08042_4_KLU-NAT00Z01NBA;Kluten, kokmeeuwen, bergeend en stormmeeuwen
0000KLKAREKIE-NAT00Z03NQZ;Zingende kleine karekiet
0001SCHOLEKST-NAT00Z03NXL;Scholekster in orchideënveld
ATELES151LI07-NAT00Z04I5T;Landschap in Limburg
VKB047_002_09-NAT00Z050QC;Fuut zit te broeden
0002ROODBOTAP-NAT00Z03NZY;Voerend mannetje met jong roodborsttapuit
0000WATERSNIP-NAT00Z03NUA;Foeragerende watersnip in de regen
GEELGORSWASSE-NAT00Z056GU;Geelgors badderend
366A_3_VISARE-NAT00Z0137O;Visarend
EP06109_3_GAA-NAT00Z01NBK;Gaai op tak
000028_1_TOVA-NAT00Z02GZ3;Torenvalk, biddend en rustend op een hek
070506_3_TOVA-NAT00Z02H30;Torenvalk, biddend en zittend op een tak
0000SNOR00000-NAT00Z03NTF;Zingende snor
ATELES131STA1-NAT00Z0423I;Ooievaars en kieviet in veld bij Staphorst
0366_5_KLUTEN-NAT00Z00TRT;Jonge kluten en jonge bergeenden
141A_1_SCHRRL-NAT00Z00WE4;Scharrelkippen
741A_1_KLAPEK-NAT00Z01N8L;Klapekster poetst veren
EP06176_5_GRO-NAT00Z01NBT;Groenpootruiter in plas in nat weiland
070101_2_ROBO-NAT00Z02H2B;Roodborst in tuin
0000ENGKWIKST-NAT00Z03NP3;Engelse kwikstaart
637A_5_KNOBBE-NAT00Z01M2M;Badderende knobbelzwanen
EP06035_2_KOK-NAT00Z01NAQ;Kokmeeuwen in plas in hoogveen
910201_3_BOPL-NAT00Z02H7L;Bontbekplevier op strand Texel
971017_1_RIEZ-NAT00Z02H8G;Rietzanger zingt in het riet
020505_1_KOOL-NAT00Z02H0O;Koolmees zingend en met jongen
0000BOERENZWA-NAT00Z03NO9;Jonge boerenzwaluwen
0001ZEEKOET00-NAT00Z03NYK;Zeekoet met stookolie
0000WINTERTAL-NAT00Z03NUH;Baltsende en poetsende wintertaling
0000SIJS00000-NAT00Z03O65;Sijs aan vogelfeeders
6024_1_VOGELS-NAT00Z04XS8;Visdiefjes en kokmeeuwen in rust
691A_2_KRAANV-NAT00Z01NMR;Vliegende kraanvogels boven het Fochteloërveen
070106_1_VINK-NAT00Z02H2C;Vink zingend en foeragerend
0000WITWANGST-NAT00Z03NUL;Witwangstern bij kolonie
0000KLBARMSIJ-NAT00Z03NQU;Foeragerende kleine barmsijs
0000WATERHOEN-NAT00Z03NU7;Foeragerende waterhoen
116A_3_BOOMKR-NAT00Z00UEZ;Boomkruiper
673A_3_GANZEN-NAT00Z01N8P;Langsvliegende kolganzen
0002ROERDOMP0-NAT00Z03NZX;Roerdomp op het ijs
0000TOPPEREEN-NAT00Z03NTV;Zwemmende toppereenden
